index,origi,name,is_slack,area,lat,lon,n_neighbors,nominal_voltage_kv
435,4647,36037950800,0,5,43.005,-78.177,2,138
436,4648,36037950900,0,5,43.002,-78.163,2,138
437,4649,36037951000,0,5,42.989,-78.168,2,138
438,4651,36037951200,0,5,42.981,-77.982,1,138
439,4653,36037951400,0,5,42.913,-78.328,2,138
440,4654,36039080100,0,1,42.419,-73.859,2,138
441,4657,36039080300,0,9,42.318,-74.29,2,138
442,4659,36039080402,0,9,42.219,-74.332,2,138
443,4662,West Coxsackie,0,1,42.345,-73.87,3,138
444,4665,36039080900,0,1,42.282,-73.864,2,138
445,4667,36039081101,0,1,42.217,-73.984,2,138
446,4668,36039081102,0,1,42.198,-73.921,2,138
447,4673,36043010100,0,9,42.922,-75.059,2,138
448,4675,36043010202,0,9,43.039,-75.142,1,138
449,4680,36043010701,0,9,43.05,-74.865,2,138
450,4681,36043010702,0,9,43.041,-74.839,2,138
451,4687,36043011301,0,9,43.072,-74.978,2,138
452,4688,36043011302,0,9,43.105,-75.091,2,138
453,4705,36045061300,0,9,43.983,-75.892,2,138
454,4714,36045062400,0,9,43.869,-75.87,2,138
455,4717,36047000100,0,3,40.698,-73.992,2,138
456,4718,36047000200,0,3,40.653,-74.011,2,138
457,4721,36047000502,0,3,40.695,-73.993,2,138
458,4723,36047000900,0,3,40.692,-73.992,2,138
459,4727,36047001800,0,3,40.657,-74.01,3,345
460,4728,36047002000,0,3,40.648,-74.016,2,138
461,4729,36047002100,0,3,40.703,-73.983,3,138
462,4730,36047002200,0,3,40.643,-74.022,2,138
463,4734,36047003100,0,3,40.692,-73.978,2,138
464,4741,36047003900,0,3,40.685,-73.981,2,138
465,4745,36047004500,0,3,40.688,-73.995,1,138
466,4753,36047005300,0,3,40.674,-74.008,3,138
467,4757,36047005800,0,3,40.619,-74.032,2,138
468,4766,36047006800,0,3,40.635,-74.026,2,138
469,4775,36047007800,0,3,40.646,-74.012,3,138
470,4776,36047008000,0,3,40.649,-74.01,3,138
471,4781,36047008800,0,3,40.65,-74.001,3,138
472,4782,36047009000,0,3,40.647,-73.997,2,138
473,4786,36047009800,0,3,40.644,-74.008,2,138
474,4787,36047010000,0,3,40.642,-74.01,2,138
475,4791,36047010600,0,3,40.639,-74.006,2,138
476,4792,36047010800,0,3,40.641,-74.004,2,138
477,4793,36047011000,0,3,40.645,-73.993,2,138
