index,from_bus,to_bus,ckt,is_transformer,tr_ratio,x_pu,b_pu,s_max_pu,status
272,133,134,1,0,0,0.01893,52.8262018,2.4,1
273,1706,133,1,0,0,0.00458,218.3406114,2.5,1
274,134,440,1,0,0,0.02156,46.38218924,2.4,1
275,135,136,1,0,0,0.01219,82.03445447,2.4,1
276,138,1272,1,0,0,0.0124,80.64516129,2.61,1
277,1723,138,1,0,0,0.00276,362.3188406,2.84,1
278,139,284,1,0,0,0.0047562,210.2518818,7.36,1
279,140,141,1,0,0,0.00085,1176.470588,2.4,1
280,1740,140,1,0,0,0.00101,990.0990099,2.4,1
281,141,142,1,0,0,0.00068,1470.588235,2.4,1
282,143,147,1,0,0,0.00336,297.6190476,2.4,1
283,143,152,1,0,0,0.00413,242.1307506,2.4,1
284,144,145,1,0,0,0.00154,649.3506494,2.4,1
285,144,148,1,0,0,0.00093,1075.268817,2.4,1
286,145,1273,1,0,0,0.01126,88.80994671,2.05,1
287,1740,146,1,0,0,0.0023,434.7826087,2.4,1
288,147,148,1,0,0,0.00328,304.8780488,2.4,1
289,147,171,1,0,0,0.00166,602.4096386,2.4,1
290,148,168,1,0,0,0.0015,666.6666667,2.4,1
291,149,150,1,0,0,0.00112,892.8571429,2.4,1
292,150,151,1,0,0,0.00096,1041.666667,2.4,1
293,151,152,1,0,0,0.00163,613.4969325,2.4,1
294,153,155,1,0,0,0.00264,378.7878788,2.4,1
295,153,1278,1,0,0,0.00593,168.6340641,2.4,1
296,154,155,1,0,0,0.00207,483.0917874,2.05,1
297,154,156,1,0,0,0.00134,746.2686567,2.19,1
298,156,158,1,0,0,0.00149,671.1409396,2.19,1
299,157,175,1,0,0,0.00267,374.5318352,2.4,1
300,158,163,1,0,0,0.00308,324.6753247,2.19,1
301,159,160,1,0,0,0.0009,1111.111111,2.4,1
302,159,179,1,0,0,0.00099,1010.10101,2.4,1
303,159,256,1,0,0,0.00178,561.7977528,2.4,1
304,161,162,1,0,0,0.00116,862.0689655,2.4,1
305,161,173,1,0,0,0.00155,645.1612903,2.4,1
306,1740,162,1,0,0,0.00685,145.9854015,2.4,1
307,162,1760,1,0,0,0.00442,226.2443439,2.19,1
308,163,197,1,0,0,0.00134,746.2686567,2.61,1
309,164,192,1,0,0,0.00216,462.962963,2.4,1
310,164,194,1,0,0,0.0011,909.0909091,2.4,1
311,1720,164,1,0,0,0.01948,51.33470226,2.5,1
312,165,169,1,0,0,0.00141,709.2198582,2.4,1
313,165,189,1,0,0,0.00399,250.6265664,2.5,1
314,165,1761,1,0,0,0.00221,452.4886878,3.17,1
315,166,167,1,0,0,0.00076,1315.789474,2.4,1
316,166,170,1,0,0,0.00178,561.7977528,2.4,1
317,166,177,1,0,0,0.00364,274.7252747,2.4,1
318,166,186,1,0,0,0.00147,680.2721088,2.4,1
319,167,174,1,0,0,0.00084,1190.47619,2.4,1
320,168,174,1,0,0,0.00086,1162.790698,2.4,1
321,169,172,1,0,0,0.00101,990.0990099,2.4,1
322,170,171,1,0,0,0.00109,917.4311927,2.4,1
323,172,173,1,0,0,0.00085,1176.470588,2.4,1
